PstId|PhoId|StiBezeichnungS|StiSynonymS
6903|87643|Knapp|Knappar
6904|87643|Detalj|Närbild Detaljer
6905|87643|1960-tal|
6906|87643|Dammode|Trender Dammoden
6907|87643|Ambler|
6908|87643|Föremålsbild|
6909|87644|Kunglig Vintage|
6910|87644|Klänning|Klänningar Kläder Dräkter
6911|87644|Vit|Vita Vitt
6912|87644|Omlottklänning|
6913|87644|Linne|
6914|87644|Dammode|Trender Dammoden
6915|87644|1960-tal|
6916|87644|Ambler|
6917|87644|Föremålsbild|
6918|87645|Kunglig Vintage|
6919|87645|Snörsko|Snörskor
6920|87645|Detalj|Närbild Detaljer
6921|87645|Linne|
6922|87645|Föremålsbild|
6924|87647|Kunglig Vintage|
6925|87647|Märke|Logotyp Logga Märken
6926|87647|Lapp|Lappar
6927|87647|Märthaskolan|
6928|87647|Föremålsbild|
6929|87648|Kunglig Vintage|
6930|87648|Klänning|Klänningar Kläder Dräkter
6931|87648|Röd|Rött Röda
6932|87648|Blommigt|Blommönster Blommönstrat Blommor
6933|87648|Ambler|
6934|87648|Dammode|Trender Dammoden
6935|87648|Siden|
6936|87648|Föremålsbild|
6937|87649|Kunglig Vintage|
6938|87649|Klänning|Klänningar Kläder Dräkter
6939|87649|Blommigt|Blommönster Blommönstrat Blommor
6940|87649|Svart|Svarta
6941|87649|1960-tal|
6942|87649|Dammode|Trender Dammoden
6943|87649|Ambler|
6944|87649|Föremålsbild|
6945|87650|Chiffong|
6946|87650|Turkos|Turkosa
6947|87650|Tyg|Tyger Textilier
6950|87650|Föremålsbild|
6951|87651|Klänning|Klänningar Kläder Dräkter
6952|87651|1960-tal|
6953|87651|Margaretha Ambler|
6954|87651|Turkos|Turkosa
6955|87651|Föremålsbild|
6956|87652|Klänning|Klänningar Kläder Dräkter
6957|87652|Margaretha Ambler|
6958|87652|Kunglig Vintage|
6959|87652|1960-tal|
6960|87652|Grönt|Gröna
6961|87652|Föremålsbild|
6962|87651|Kunglig Vintage|
6963|87653|Klänning|Klänningar Kläder Dräkter
6964|87653|Margaretha Ambler|
6965|87653|Kunglig Vintage|
6967|87653|1960-tal|
6968|87653|Grönt|Gröna
6969|87653|Siden|
6970|87653|Föremålsbild|
6971|87654|Grönt|Gröna
6972|87654|Siden|
6973|87654|Knappar|
6974|87654|Föremålsbild|
6975|87654|Detalj|Närbild Detaljer
6976|87654|Kunglig Vintage|
6977|87655|Klänning|Klänningar Kläder Dräkter
6978|87655|Margaretha Ambler|
6979|87655|Kunglig Vintage|
6980|87655|1960-tal|
6981|87655|Föremålsbild|
6982|87656|Detalj|Närbild Detaljer
6983|87656|Klänningstyg|Textilier
6984|87656|Blommigt|Blommönster Blommönstrat Blommor
6985|87656|Föremålsbild|
6987|87657|Detalj|Närbild Detaljer
6988|87657|Klänningstyg|Textilier
6989|87657|Kunglig Vintage|
6990|87657|Föremålsbild|
6991|87656|Kunglig Vintage|
6992|87658|Klänning|Klänningar Kläder Dräkter
6993|87658|Vit|Vita Vitt
6994|87658|1960-tal|
6996|87658|Margaretha Ambler|
6997|87658|Kunglig Vintage|
6998|87658|Föremålsbild|
6999|87659|Detalj|Närbild Detaljer
7000|87659|Klänningstyg|Textilier
7001|87659|Vit|Vita Vitt
7002|87659|Kunglig Vintage|
7003|87660|Kappa|Kappor Ytterkläder Ytterplagg Dräkter
7004|87660|Blått|Blåa
7005|87660|Siden|
7006|87660|Kunglig Vintage|
7007|87660|Margaretha Ambler|
7008|87660|Djurmönster|Djurmönstrat
7009|87661|Detalj|Närbild Detaljer
7010|87661|Djurmotiv|Djur
7011|87661|Djurmönster|Djurmönstrat
7012|87661|Siden|
7013|87661|Blått|Blåa
7015|87661|Kunglig Vintage|
7016|87663|Klänning|Klänningar Kläder Dräkter
7017|87663|Mintgröna|Mintgrönt
7018|87663|Kunglig Vintage|
7019|87663|1960-tal|
7020|87663|Föremålsbild|
7021|87663|Silkeskräpp|Silkescrêpe Crêpe
7022|87664|Detalj|Närbild Detaljer
7023|87664|Klänningstyg|Textilier
7024|87664|Silkeskräpp|Silkescrêpe Crêpe
7025|87664|Mintgröna|Mintgrönt
7026|87664|Kunglig Vintage|
7027|87662|Skärning|Skärningar
7028|87662|Detalj|Närbild Detaljer
7029|87662|Klänningstyg|Textilier
7030|87662|Kunglig Vintage|
7031|87662|Mintgröna|Mintgrönt
7032|87662|Föremålsbild|
7033|87665|Detalj|Närbild Detaljer
7034|87665|Strass|Glitter
7035|87665|Föremålsbild|
7036|87665|Kunglig Vintage|
7037|87666|Klänning|Klänningar Kläder Dräkter
7039|87666|Mörkblått|Mörkblåa
7040|87666|Margaretha Ambler|
7041|87666|1960-tal|
7042|87666|Silkesjersey|
7044|87666|Föremålsbild|
7045|87667|Långklänning|Långklänningar Dräkter Kläder
7046|87667|Mörkblått|Mörkblåa
7047|87667|Margaretha Ambler|
7048|87667|1960-tal|
7049|87667|Föremålsbild|
7050|87668|Långklänning|Långklänningar Dräkter Kläder
7051|87668|Drapering|Draperingar Draperad
7053|87668|Röd|Rött Röda
7054|87668|Siden|
7055|87668|1960-tal|
7056|87668|Margaretha Ambler|
7057|87668|Föremålsbild|
7058|87669|Drapering|Draperingar Draperad
7059|87669|Klänning|Klänningar Kläder Dräkter
7060|87669|Ryggringning|Urringningar Skärning
7061|87669|Siden|
7062|87669|Röd|Rött Röda
7064|87669|Margaretha Ambler|
7065|87669|1960-tal|
