ErgId|ErgKurztitelS|ErgArtS|EroObjId
1138|Sveagruvans sista svenska flagga, Spetsbergen<!>Sveagruvan, Spetsbergen<!>Sveagruvan, Spetsbergen||53745
1152|Karl X Gustavs död och begravning|sv:Karl_X_Gustav|53939;53940;53941;53943;53944;53945;53947;53948;53949;53950;53951;53957;53964;53965;53966;53967;53968;53969;53976;53977;53978;53979;53981;53982;53983;53984;53985;53986;53987;53988;53989;52966;52967;52968;52969;52970;52971;52972;52973;52974;52975;53990;53991;53992;53993;53994;53996;53997;53998;53999;54000;54001;54002;54003;54004;54005;54006;54007;54008;54009;54010;54012;54013;54014;54015;54016;54017;54018;54019;54020;54021;54023;54024;54025;54026;61759;61760;61761;61762;61763;61764;61765;61766;61767;61768;61769;61770;61771;61772;61773;61774;61775;61776;61777;61778;61779;61780;61781;61782;61783;61784;61785;61786;61787;61788;61789;61790;61791;61792;61793;61794;61795;61796;61797;61798;61799;61800;61801;61802;61803;61804;61805;61806;61807;61808;61809;61810;61811;61812;61813;61814;61815;61816;61817;61818;61819;61820;61821;61822;61823;61824;61825;61826;61827;61828;61829;61830;61831;61832;61833;61834;61835;61836;61837;61838
1168|Slottsbranden 1697|sv:Slottsbranden_1697|48242;48243;48244;48245;48246;48247;48248;48249
1306|Oscar I:s begravning|sv:Oskar_I|46712;46713;45705;45706;45707;45708;45709;45710;45711;39433;37801;45971
1396|Den nya hovdräkten ?||56911;56912;56913;56914;56915;56916
1413|President Saragats besök|sv:Giuseppe_Saracco|52330
1436|Stormningen av palatset i Lucknow||60601;60602;60585
1438|Trekungamötet 1914||50417;50418;50419
1451|Carl XVI Gustafs studentexamen||48354
1476|Greve Bertil Bernadottes af Wisborg bröllop med Rose-Marie Heering|sv:Prins_Bertil|48369;48370
1480|Margarethas bröllop med Mr John Ambler|sv:Prinsessan_Margaretha|48447;48448;51621;51622;57090;57091
1489|Slaget vid Leipzig|sv:Slaget_vid_Leipzig_(1813)|48765;36908;37651
1493|Gustaf V:s 90-årsdag|sv:Gustaf_V|50061;64192
1517|Gustav III:s statskupp 1772|sv:Gustav_III:s_statskupp|16647;14880;21059;21061;19682;21060
1522|Karl XII:s kröning|sv:Karl_XII|56553;56554;56555;56556
1529|Fredrik I och Luise av Badens guldbröllop|sv:Fredrik_I_av_Baden|39243
1534|Ceremoniel för investituren av Serafimerorden|sv:Serafimerorden|42916;42915
1544|Ambassad till Paris 1679||40567;40568
1547|Riddarspelen på Adolf Fredriks torg.||53803;53804;53805;40688;40689;40690;40691;65815;66174;65830;65836
1566|Inskeppningen till Tyskland||53811
1614|Dianas fest 1778||63281;63282;63876;68209;68210;68211;68212;65861;62839
1647|Hessiska eventualkonfederationen||41876
1668|President Zemgals statsbesök i Stockholm|sv:Gustavs_Zemgals|38140;38141;38142;38143;38144
1673|Krigsbyte från Prag||65099
1675|Slaget vid Kirkholm|sv:Slaget_vid_Kirkholm|50212
1679|Carl XVI Gustafs eriksgata i Blekinge|sv:Carl_XVI_Gustaf|54247;54246
1680|Prinsessan Madeleines dop|sv:Prinsessan_Madeleine|55776;56895
1686|Riddarholmskyrkans brand||69684;39475
1687|Drottning Elisabeths och George VI:s kröning|sv:Georg_VI_av_Storbritannien|51597
1688|Peter den stores begravningståg|sv:Peter_den_store|69751
1698|Oscar II:s 25-åriga jubileum som regent|sv:Oscar_II|69780;56741
1700|Angelique Verités begravning||68319;69782
1710|Constantin II av Grekland och prinsessan Anne-Marie av Danmarks bröllop|sv:Konstantin_II_av_Grekland|50747;50748;50749;50751;50752;50753
1712|Edward VII:s kröning|sv:Edvard_VII|36520
1825|Johan III:s död och begravning|sv:Johan_III|53402
1827|Trettioåriga kriget|sv:Trettioåriga_kriget|61968;46316
1834|Ulrika Eleonora dä:s kröning|sv:Ulrika_Eleonora_av_Danmark|42752;55407;56430;57318;57319
1851|Ambassad till Persien 1678-82||37710
1894|Georg VI:s och drottning Elisabeths kröning|sv:Georg_VI|51599
1899|Erik XIV fängslad på Gripsholms slott|sv:Erik_XIV|52033
1900|Karin Månsdotters gravöppning|sv:Karin_Månsdotter|52035
1904|Gustav II Adolfs gravöppning|sv:Gustav_II_Adolf|52039
1907|Karl XII:s ritt från Bender till Stralsund.|sv:Karl_XII|52045
1909|Prins Gustavs begravning|sv:Prins_Gustaf|52049
1910|Tornerspelen på Drottningholm 1799||51336;51337;51338;51339;51340;51341;51342;51343;51344;51345;51346;51347;51348;51349;51350;51351;51809;51810;51811;51812;51813;51814;51815;51816;51817;51818;51819;51820;51821;51822;51823;51824;51825;51826;51827;51828;51829;51830;51831;51832;51833;65810;65807;52237;52238;57246;58218;65815;65836;58032;58033;60063;60064;60065;60066;60067;60068;60069;60070;60071;60072;60073;60074;62779;66320;57245;57249;58216;58211;58004;58219
1951|Gustaf VI Adolfs 80-årsdag|sv:Gustaf_VI_Adolf|51835
1955|Magnus Fredrik Ferdinand Björnstjernas tid som minister i London 1828 ?||46752;51781;51782;51783;51784;51785;51786;51787;51788;51789;51790;51791;51792
