AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
806|Skokloster gods 400 år - Herman Wrangel godsgrundare och ättebildare.|Skoklosters slott, Barons garderober|2011|2011|2011-05-01 00:00:00|2011-09-30 00:00:00|Skoklosters slott|26655;26656;33357;31979;21435;22000;21629;21405;21243;21501;24053;36452;35734;35746;100600;106397
807|Armfelt|Livrustkammaren, rum 1-4, entrésolen|2012-2013|2012|2012-03-27 00:00:00|2013-02-03 00:00:00|Livrustkammaren|65861;66593;66447;66921;62839;55782;55783;55784;55785;55680;55681;55682;55683;55684;55685;57352;57498;57499;46500;37246;62133;110683;110684;110685;110686;110687;110688;110689;110690;110691;110692;110693;110694;110695;110696;110697;110698;110699;110701;110702;110703;110704;110705;110706;110707;110708;110710;110711;110700;110712;110713;110714;110715;110716;110717;110718;110719;110720;110721;110722;110723;110724;110725;110726;110727;110728;110729;110730;110731;110732;110733;110735;110736;110737;110738;110739;110740;110741;110744;110745;110746;110747;110748;110749;110750;110751;110752;110756;110758;110759;110760;110762;110766;110767;110770;110771;110772;110773;110774;110775;110776;110777;110778;110779;110780;110781;110742;51352;24521;24648;100210
808|Snille och skönhet - Starka kvinnor kring sekelskiftet 1900.|Hallwylska Museet|2000|2000|||Hallwylska museet|8283
809|Tre systrar - tre liv|Hallwylska Museet|1992|1992|||Hallwylska museet|8136;8266;8270;7937
810|Från Kina till Europa|Östasiatiska Museet|1998-1999|1998-99|||Hallwylska museet|14434
811|Det svenska indelningsverket|Krigsarkivet|1968|1968|||Hallwylska museet|362
812|Islam: konst och kultur: art and culture: en utställning i samproduktion mellan Statens historiska museum, Kungl. Myntkabinettet och Medelhavsmuseet.|Statens historiska museum, Kungl. Myntkabinettet, Medelhavsmuseet.|1985|1985|1985-05-03 00:00:00|1985-12-31 00:00:00|Hallwylska museet|15550;16393
813|Käre bortgångne|Hallwylska Museet|1993|1993|||Hallwylska museet|7935
814|Det sista privatpalatset - Isak Gustaf Clason|Hallwylska Museet|1998|1998|||Hallwylska museet|8673;10273;10440;10591;10641;10644;10645
815|Bilder av Kristina|Livrustkammaren|2013-2014|2013|2013-04-18 00:00:00|2014-01-06 00:00:00|Livrustkammaren|42753;70048;46016;46017;67775;42303;42304;40823;40824;40825;42734;41992;41993;45546;60894;37705;42274;58800;42735;42294;42299;45560;66344;42737;42738;42752;42579;42751;55408;55407;37712;37704;61297;45561;45562;45563;45564;45567;27499;41237;45618;45568;61972;45554;45555;45569;61971;54604;56386;56984;56992;58854;59825;59826;59827;59828;59829;59830;59831;59832;63423;63424;42763;52096;52097;52098;52099;52100;52101;52102;24377;21420;32424;32420;36231;36232
816|Silver från sex sekler|Hallwylska museet|1999-2000|1999-2000|||Allmänt|13567;15909;16128;13556;13705;13785;16331;16417;16426;16476;16490;16535;16538;16601;16603;16605;16790;16794;16798;16802;16950;16954;16971;17048;17050;17051;17054;17063;17068;17073;17083;17086;17121;17128;17140;17382;20296;16423;15908;16415;16418;16537;17076
817|Kring alla tiders mat|Läckö slott|1984|1984|||Allmänt|16594;16632;16634;16639;17089;17113;13695;16128;16679;16717;16936;16939;16998;17145;20234;20235;17458;18451
818|Schloss Hallwyl|Seengen|2005-2006|2005-2006|2005-04-26 00:00:00|2006-04-26 00:00:00|Allmänt|13790;13795;13797;13816;13817;13818;19176;19181;18924;6386;6536;6551;6627;7072;7102;7483
