These are the keywords used to describe the objects themselves. Classification is used for all items whereas group is only used at HWY.

when possible ord1 will be used instead of the more generic ord2.
===*Keyword|frequency|commonscategory===
*18. XVIII Åkdon och körredskap m. m.|2|[[:Category:Carriages]]
*24. XXIV Föremål till famlijens personliga bruk|2|[[:Category:Accessories]]
*26. XXVI Solfjädrar|2|[[:Category:Hand fans]]
*52. LII Föremål af oädel metall - Europa|2|[[:Category:Metal objects]]
*13. XIII Skrivdon m. m.|1|[[:Category:Writing tools]]
*17. XVII Reseutrustningar|1|[[:Category:Travel stuff]]
*20. XX Verktyg m. m. för Samlingen|1|[[:Category:Hand tools]]
*43. XLIII Bestick, skedar m. m.|1|[[:Category:Cutlery]]
*51. LI Egyptiska fornsaker|1|[[:Category:Collections of Egyptian antiquities]]
*62. LXII Naturalier|1|-
