<!--From: Ereignis_1.1.csv -->
''wikipedia-link'' are used for descriptive texts whereas ''commonsconnection'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-"

Multiple categories are separated by ";"

*död/begravning: [[:Category:Funeral of X of Sweden]]
*kröning: [[:Category:Coronation of X of Sweden]]
*bröllop:[[:Category:Wedding of X and Y of Sweden]]
===Event|Frequency|wikipedia-link|Commonsconnection===
*Gustaf V:s statsbesök i Spanien 1927|3||
*Stormningen av palatset i Lucknow|3||
*Kristinas dop|3|[[:sv:Drottning Kristina]]|
*Gustav III:s myndighetsförklaring|3|[[:sv:Gustav III]]|
*Gustaf VI Adolf och Louise Mountbattens bröllop|3|[[:sv:Gustaf VI Adolf]]|
*Gustav III:s italienska resa|3|[[:sv:Gustav III]]|
*Georg VI:s och Elisabeths kröning|3|[[:sv:Georg VI]]|
*Slaget vid Femern|3|[[:sv:Slaget vid Femern]]|
*Gustav Vasas död och begravning|3|[[:sv:Gustav Vasa]]|
*Slaget vid Valkeala|3|[[:sv:Slaget vid Valkeala]]|
*Slaget vid Lode|3|[[:sv:Slaget vid Lode]]|
*Världsrevolutionen 1917 - 1921|3|[[:sv:Ryska revolutionen]]|
*Fredrik I:s kröning|3|[[:sv:Fredrik I]]|
*Svenska spelen i Stockholm 1916|3|[[:sv:Svenska spelen]]|
*Drottning Sofias kröning|2|[[:sv:Drottning Sofia]]|
*Mordet på Folke Bernadotte|2|[[:sv:Folke Bernadotte#Mordet]]|
*Gustav III:s tornerspel 1778|2|[[:sv:Gustav III]]|[[:Category:Gustav III of Sweden]];[[:Category:Tournaments]]
*Karl XII:s gravöppning|2|[[:sv:Karl XII]]|
*Träffningen vid Porkkala udde|2||
*Erövringen av Fredriksorts fästning|2||
*Prinsessan Astrids bröllop med Leopold III av Belgien|2|[[:sv:Astrid av Sverige]]|
*Desiderias överfart från Lübeck|2|[[:sv:Drottning Desideria]]|
*Slaget vid Ferdinandshof|2||
*Mordet på Axel von Fersen|2|[[:sv:Axel von Fersen]]|
*Exposition Universelle - Världsutställningen i Paris 1855|2|[[:sv:Världsutställningen 1855]]|
*Axel Oxenstiernas begravning|2|[[:sv:Axel Oxenstierna]]|
*Carl XVI Gustafs eriksgata i Blekinge|2|[[:sv:Carl XVI Gustaf]]|
*Kronprins Karl Augusts begravning|2|[[:sv:Karl August]]|
*Krigsbyte från Tyskland, Mainz(?)|2||[[:Category:War trophies seized from Germany by Sweden]]
*Riksdag 1756 - 1866|2||
*Jubileumsutställningen i Göteborg 1923|2|[[:sv:Jubileumsutställningen i Göteborg]]|
*Konungamötet i Malmö 1914|2||
*Belägringen av Ofen (Buda)|2||
*Oscar II och Sofia av Nassaus bröllop|2|[[:sv:Oscar II]]|
*Trettioåriga kriget|2|[[:sv:Trettioåriga kriget]]|
*Krigsbyte från Tyskland(?), Oppenheim (Pfalz) (?)|2||[[:Category:War trophies seized from Germany by Sweden]]
