<!--From: Ausstellung_1.1.csv - col: ausOrt-->
Set commonsconnection of irrelevant places to "-"

Multiple entries are separated by ";"
===Place|Frequency|Commonsconnection===
*Ryssland, S:t Petersburg|18|{{city{{!}}Sankt Petersburg}}
*Etruria, Staffordshire|18|Etruria, {{city{{!}}Staffordshire}}
*Den Kongelige Porcelainsfabrik, Köpenhamn|17|Den Kongelige Porcelainsfabrik, {{city{{!}}Köpenhamn}}
*Sverige, Jönköping|16|{{city{{!}}Jönköping}}
*Sverige, Vira|15|
*Italien, Brescia|15|{{city{{!}}Brescia}}
*Spanien, Toledo|13|{{city{{!}}Toledo}}
*Ansbach|13|{{city{{!}}Ansbach}}
*Ludwigsburg|12|{{city{{!}}Ludwigsburg}}
*Amsterdam|12|{{city{{!}}Amsterdam}}
*Tyskland, Suhl|11|{{city{{!}}Suhl}}
*Frankrike, Versailles|11|{{city{{!}}Versailles}}
*Frankenthal|11|{{city{{!}}Frankenthal}}
*Derby|11|{{city{{!}}Derby}}
*Norge, Oslo|10|{{city{{!}}Oslo}}
*Frankrike, Sedan|10|{{city{{!}}Sedan}}
*Thüringen|9|{{city{{!}}Thüringen}}
*Sèvres|9|{{city{{!}}Sèvres}}
*Sverige, Göteborg|9|{{city{{!}}Göteborg}}
*Köpenhamn|9|{{city{{!}}Köpenhamn}}
*Tyskland, Hanau|8|{{city{{!}}Hanau}}
*Sverige, Pommern, Stralsund|8|
*Paris|8|{{city{{!}}Paris}}
*Chelsea|8|{{city{{!}}Chelsea}}
*Belgien, Liège|8|{{city{{!}}Liège}}
*Tyskland, Berlin|7|{{city{{!}}Berlin}}
*Sverige, Eskilstuna|7|{{city{{!}}Eskilstuna}}
*Osmanska riket, Istambul|7|{{Ottoman Empire}}, {{city{{!}}Istambul}}
*Nederländerna, Utrecht|7|{{city{{!}}Utrecht}}
*Fürstenberg|7|
*Delft|7|{{city{{!}}Delft}}
*Österrike, Wien|6|{{city{{!}}Wien}}
*Sverige, Närke, Kassmyra|6|{{city{{!}}Närke}}, Kassmyra
*Sverige, Norrtälje|6|{{city{{!}}Norrtälje}}
*Sverige, Arboga|6|{{city{{!}}Arboga}}
*Sverige|6|{{country{{!}}SE}}
*Savona|6|{{city{{!}}Savona}}
*Nyon|6|{{city{{!}}Nyon}}
*Frankfurt am Main|6|{{city{{!}}Frankfurt am Main}}
*Antwerpen|6|{{city{{!}}Antwerpen}}
*Österrike, Schwaz|5|
*Tyskland, Dresden|5|{{city{{!}}Dresden}}
*Teschen|5|{{city{{!}}Teschen}}
*Sverige, Nordanrog|5|
*Sverige, Högbo|5|
*Skottland, Aberdeen|5|{{city{{!}}Aberdeen}}
*Ryssland, Moskwa|5|{{city{{!}}Moskwa}}
*Oude - Amstel|5|
*Nederländerna, Amsterdam|5|{{city{{!}}Amsterdam}}
*Neapel|5|{{city{{!}}Neapel}}
*Marseille|5|{{city{{!}}Marseille}}
*Haarlem|5|{{city{{!}}Haarlem}}
*Gardners fabrik, Moskva|5|Gardners fabrik, {{city{{!}}Moskva}}
*Frankrike, Angers|5|{{city{{!}}Angers}}
*Zürich|4|{{city{{!}}Zürich}}
